YEAR,ALL_PAGES,SOURCE_MEDIUM,PAGEVIEWS,UNIQUE_PAGEVIEWS,AVG_TIME_ON_PAGE,ENTRANCES,BOUNCE_RATE,PERCENT_EXIT,OBJECTID
2020,/coronavirus.dc.gov/,google / organic,451122,319019,0:00:58,223016,0.3786,0.3148,0
2020,/dmv.dc.gov/service/pay-tickets,google / organic,312951,249200,0:03:32,192074,0.1709,0.6429,1
2020,/dmv.dc.gov/,google / organic,231996,182116,0:00:55,127768,0.1702,0.2585,2
2020,/dchealth.dc.gov/,(direct) / (none),222549,202766,0:01:03,199787,0.8162,0.8125,3
2020,/dmv.dc.gov/,(direct) / (none),210523,175358,0:00:48,165289,0.1735,0.2354,4
2020,/dmv.dc.gov/service/pay-tickets,(direct) / (none),208723,157420,0:03:04,60238,0.3471,0.6513,5
2020,/coronavirus.dc.gov/,(direct) / (none),199987,154997,0:00:54,119432,0.5167,0.4375,6
2020,/dcps.dc.gov/,google / organic,175069,145261,0:02:05,118032,0.5289,0.5324,7
2020,/does.dc.gov/service/start-your-unemployment-compensation-process,google / organic,165289,133547,0:05:59,102272,0.1996,0.6654,8
2020,/dc.gov/,google / organic,162066,132036,0:01:05,84734,0.3012,0.3282,9
2020,/start.dc.gov/,google / organic,143683,114520,0:06:48,105362,0.0891,0.7231,10
2020,/dchr.dc.gov/page/careers,google / organic,138171,96359,0:00:23,78777,0.0803,0.0965,11
2020,/dc.gov/,(direct) / (none),133080,110585,0:01:27,98916,0.5283,0.528,12
2020,/otr.cfo.dc.gov/page/real-property-tax-database-search,google / organic,125545,105362,0:04:47,87046,0.0959,0.6411,13
2020,/coronavirus.dc.gov/page/coronavirus-data,google / organic,123633,91914,0:03:31,45501,0.6361,0.5777,14
2020,/otr.cfo.dc.gov/service/check-your-tax-refund-status,google / organic,115676,107540,0:05:40,99716,0.095,0.8553,15
2020,/dchealth.dc.gov/,google / organic,114186,89402,0:00:56,71664,0.2532,0.2834,16
2020,/dbh.dc.gov/,google / organic,98693,46279,0:06:31,43590,0.4337,0.373,17
2020,/dchr.dc.gov/node/1142587,google / organic,86223,70575,0:04:59,600,0.5933,0.67,18
2020,/start.dc.gov/,(direct) / (none),83089,63550,0:05:55,61972,0.197,0.722,19
2020,/dmv.dc.gov/service/dmv-online-services,google / organic,82644,63173,0:01:18,24851,0.1717,0.2335,20
2020,/coronavirus.dc.gov/wea,(direct) / (none),78799,69374,0:03:37,68507,0.6097,0.7574,21
2020,/otr.cfo.dc.gov/,google / organic,78110,64351,0:00:58,46279,0.1552,0.2416,22
2020,/cson.oag.dc.gov/LogReg.aspx,google / organic,73664,30297,0:00:28,6757,0.0399,0.0634,23
2020,/dmv.dc.gov/page/webcam-and-average-wait-time-georgetown-service-center,google / organic,72442,3734,0:01:17,3112,0.3001,0.0405,24
2020,/dcra.dc.gov/,google / organic,70597,50214,0:01:55,35076,0.284,0.3656,25
2020,/coronavirus.dc.gov/,t.co / referral,64484,47391,0:00:48,43545,0.3367,0.334,26
2020,/cson.oag.dc.gov/CaseInfo.aspx,google / organic,61550,25296,0:01:07,6802,0.2451,0.3637,27
2020,/does.dc.gov/,google / organic,61328,47724,0:01:18,38077,0.2545,0.3048,28
2020,/coronavirus.dc.gov/page/coronavirus-data,(direct) / (none),58416,46479,0:03:57,34409,0.7397,0.7002,29
2020,/coronavirus.dc.gov/release/mayor-bowser-orders-closure-non-essential-businesses,google / organic,58305,48880,0:03:10,18938,0.6081,0.6088,30
2020,/dcps.dc.gov/coronavirus,google / organic,56815,49813,0:03:35,29141,0.5315,0.644,31
2020,/dcps.dc.gov/page/dcps-calendars,google / organic,56571,47724,0:00:54,39388,0.1985,0.3658,32
2020,/mayor.dc.gov/,google / organic,55526,38988,0:00:57,22206,0.172,0.1986,33
2020,/dc.gov/404.html?page=/DC/&from=,bing / organic,54993,6957,0:07:17,6135,0.134,0.1217,34
2020,/dchr.dc.gov/,google / organic,53637,43056,0:00:59,32764,0.1783,0.2561,35
2020,/does.dc.gov/service/unemployment-compensation-process,google / organic,53303,45057,0:03:08,28474,0.2808,0.4495,36
2019,/does.dc.gov/service/start-your-unemployment-compensation-process,google / organic,126214,104382,0:04:25,79182,0.2165,0.6713,149
2019,/dmv.dc.gov/service/contest-tickets,(direct) / (none),123967,94134,0:01:39,42680,0.0805,0.124,150
2019,/dcps.dc.gov/service/search-and-apply-dcps-jobs,google / organic,122563,82200,0:00:23,40925,0.074,0.1014,151
2019,/dcps.dc.gov/,(direct) / (none),122353,102768,0:02:04,94695,0.4867,0.634,152
2019,/dmv.dc.gov/service/dmv-road-skills-test-requirements,google / organic,122072,111472,0:04:58,109577,0.8713,0.885,153
2019,/dmv.dc.gov/service/dmv-online-services,search.usa.gov / referral,121440,69144,0:01:46,29834,0.0668,0.2064,154
2019,/dc.gov/start,search.usa.gov / referral,120668,94064,0:07:34,84376,0.1128,0.6958,155
2019,/dchealth.dc.gov/,(direct) / (none),120107,92730,0:01:01,87184,0.419,0.4056,156
2019,/dmv.dc.gov/service/pay-tickets,bing / organic,120036,82271,0:02:48,56930,0.1194,0.5573,157
2019,/dchealth.dc.gov/service/birth-certificates,google / organic,119615,78690,0:02:12,49067,0.323,0.3345,158
2019,/dbh.dc.gov/,(direct) / (none),119264,74268,0:05:42,73215,0.6194,0.5515,159
2019,/dmv.dc.gov/service/pay-tickets,search.usa.gov / referral,119194,88729,0:03:12,49067,0.1706,0.53,160
2019,/dchr.dc.gov/external-link/careers-dc,google / organic,118001,89501,0:04:22,1966,0.5,0.5503,161
2019,/cfsa.dc.gov/page/when-child-welfare-investigates-your-family,google / organic,115263,108384,0:08:37,106769,0.8753,0.9166,162
2019,/dbh.dc.gov/,bing / organic,114842,73005,0:08:08,67319,0.6361,0.599,163
2019,/dmv.dc.gov/service/knowledge-test,google / organic,114350,92519,0:00:45,64862,0.2918,0.248,164
2019,/dcra.dc.gov/,(direct) / (none),113719,84727,0:01:37,73496,0.4676,0.4537,165
2019,/dcatlas.dcgis.dc.gov/mar/,google / organic,108524,46611,0:00:34,28851,0.132,0.0673,166
